"","SDI","Type","TempType","PAF","PAF_LCI","PAF_UCI"
"1","High SDI","UWT","Cold",0.00142646008415861,0.00134685332694877,0.00150108377317345
"2","High SDI","UWT","Heat",0,0,0
"3","High SDI","UWT","Total",0.00142646008415861,0.00134685332694877,0.00150108377317345
"4","High SDI","PWT","Cold",0.00508924538638364,0.00462294366723524,0.00560165036740211
"5","High SDI","PWT","Heat",0.000143099216631671,0.000108644406960896,0.000185326704162392
"6","High SDI","PWT","Total",0.00523234460301531,0.0047524425441333,0.00575136132010253
"7","High-middle SDI","UWT","Cold",49.2975834034895,47.1861705089859,50.9848358002653
"8","High-middle SDI","UWT","Heat",1.08794947253638,0.805685544374209,1.44468037734045
"9","High-middle SDI","UWT","Total",50.3855328760259,48.5978758915442,51.7816160554097
"10","High-middle SDI","PWT","Cold",31.3689751995642,30.3130748565153,32.2018145012068
"11","High-middle SDI","PWT","Heat",0.110891275011814,0.06564005390774,0.165796495582637
"12","High-middle SDI","PWT","Total",31.479866474576,30.4970085616976,32.303648250222
"13","Middle SDI","UWT","Cold",7.1768521899637,5.34850058738534,8.67298969423018
"14","Middle SDI","UWT","Heat",9.35206778130337,7.33385503175633,11.8993422773789
"15","Middle SDI","UWT","Total",16.5289199712671,15.8470675091627,17.4420720449978
"16","Middle SDI","PWT","Cold",0.019676920286084,0.0116726885632775,0.0299602757329987
"17","Middle SDI","PWT","Heat",4.17983720087038,3.28696768030205,5.23809073721047
"18","Middle SDI","PWT","Total",4.19951412115646,3.30133176401702,5.2614612995596
"19","Low SDI","UWT","Cold",4.50853130837707,3.68005336832783,5.31734910477355
"20","Low SDI","UWT","Heat",1.50161973150583,1.29002008012311,1.72658524098941
"21","Low SDI","UWT","Total",6.0101510398829,5.30507329119435,6.69243674603837
"22","Low SDI","PWT","Cold",1.16163760780138,0.978706765736431,1.38658127334191
"23","Low SDI","PWT","Heat",0.495748672062979,0.420744820453785,0.582086027596989
"24","Low SDI","PWT","Total",1.65738627986436,1.44588433034144,1.92522705374452
"25","Low-middle SDI","UWT","Cold",0.174516005528876,0.117531845242346,0.251798096129197
"26","Low-middle SDI","UWT","Heat",50.0390072051346,49.4416427459105,50.4900495800441
"27","Low-middle SDI","UWT","Total",50.2135232106635,49.6803989212336,50.64745236439
"28","Low-middle SDI","PWT","Cold",0.0697722114866431,0.0432697355985046,0.106646192331224
"29","Low-middle SDI","PWT","Heat",24.4792585688208,23.9331595222006,24.8845125189264
"30","Low-middle SDI","PWT","Total",24.5490307803074,24.0122597178694,24.9454516114474
